filename,max_arrival_time,design_type,architecture,precision,stage,is_fast
adder_combinational_fp32_finish.rpt,3.62,adder,combinational,fp32,none,False
multiplier_combinational_fp32_finish.rpt,3.08,multiplier,combinational,fp32,none,False
multiplier_combinational_fast_fp32_finish.rpt,2.85,multiplier,combinational,fp32,none,True
adder_combinational_bf16_finish.rpt,2.5,adder,combinational,bf16,none,False
adder_combinational_fast_fp32_finish.rpt,2.16,adder,combinational,fp32,none,True
multiplier_combinational_bf16_finish.rpt,1.98,multiplier,combinational,bf16,none,False
multiplier_combinational_fast_bf16_finish.rpt,1.94,multiplier,combinational,bf16,none,True
adder_combinational_fp8_finish.rpt,1.77,adder,combinational,fp8,none,False
multiplier_fp32_finish.rpt,1.65,multiplier,unknown,fp32,none,False
multiplier_fast_fp32_finish.rpt,1.62,multiplier,unknown,fp32,none,True
multiplier_stage_2_fp32_finish.rpt,1.51,multiplier,unknown,fp32,none,False
adder_combinational_fast_bf16_finish.rpt,1.46,adder,combinational,bf16,none,True
multiplier_stage_2_fast_fp32_finish.rpt,1.46,multiplier,unknown,fp32,none,True
multiplier_combinational_fp8_finish.rpt,1.4,multiplier,combinational,fp8,none,False
adder_pipelined_fp32_finish.rpt,1.34,adder,pipelined,fp32,none,False
multiplier_combinational_fast_fp8_finish.rpt,1.29,multiplier,combinational,fp8,none,True
adder_pipelined_fast_fp32_finish.rpt,1.28,adder,pipelined,fp32,none,True
multiplier_stage_4_fp32_finish.rpt,1.24,multiplier,unknown,fp32,none,False
adder_combinational_fast_fp8_finish.rpt,1.2,adder,combinational,fp8,none,True
adder_stage_4_fast_fp32_finish.rpt,1.14,adder,unknown,fp32,none,True
adder_stage_4_fp32_finish.rpt,1.13,adder,unknown,fp32,none,False
adder_stage_5_fp32_finish.rpt,1.12,adder,unknown,fp32,none,False
multiplier_stage_4_fast_fp32_finish.rpt,1.07,multiplier,unknown,fp32,none,True
multiplier_fast_bf16_finish.rpt,1.05,multiplier,unknown,bf16,none,True
multiplier_bf16_finish.rpt,1.03,multiplier,unknown,bf16,none,False
adder_pipelined_bf16_finish.rpt,0.96,adder,pipelined,bf16,none,False
multiplier_stage_4_bf16_finish.rpt,0.94,multiplier,unknown,bf16,none,False
multiplier_stage_2_fast_bf16_finish.rpt,0.91,multiplier,unknown,bf16,none,True
adder_stage_5_bf16_finish.rpt,0.91,adder,unknown,bf16,none,False
multiplier_stage_2_bf16_finish.rpt,0.86,multiplier,unknown,bf16,none,False
adder_pipelined_fast_bf16_finish.rpt,0.74,adder,pipelined,bf16,none,True
multiplier_stage_4_fp8_finish.rpt,0.74,multiplier,unknown,fp8,none,False
adder_stage_4_bf16_finish.rpt,0.73,adder,unknown,bf16,none,False
lmul_pipelined_simple_fp32_finish.rpt,0.72,lmul,pipelined,fp32,none,False
multiplier_fast_fp8_finish.rpt,0.72,multiplier,unknown,fp8,none,True
adder_stage_4_fast_bf16_finish.rpt,0.71,adder,unknown,bf16,none,True
adder_pipelined_fp8_finish.rpt,0.7,adder,pipelined,fp8,none,False
multiplier_stage_4_fast_bf16_finish.rpt,0.69,multiplier,unknown,bf16,none,True
multiplier_fp8_finish.rpt,0.68,multiplier,unknown,fp8,none,False
adder_stage_5_fp8_finish.rpt,0.67,adder,unknown,fp8,none,False
lmul_pipelined_fast_fp32_finish.rpt,0.67,lmul,pipelined,fp32,none,True
adder_pipelined_fast_fp8_finish.rpt,0.67,adder,pipelined,fp8,none,True
