,area,power,max_arrival_time
adder_combinational_bf16,1032.88,1.74519,2.5
adder_combinational_fast_bf16,927.542,1.95394,1.46
adder_combinational_fast_fp32,2886.37,10.8059,2.16
adder_combinational_fast_fp8,510.188,1.98759,1.2
adder_combinational_fp32,3230.04,5.94875,3.62
adder_combinational_fp8,466.032,1.9096499999999998,1.77
adder_pipelined_bf16,1657.71,2.66433,0.96
adder_pipelined_fast_bf16,1603.45,2.45527,0.74
adder_pipelined_fast_fp32,3979.09,5.2372,1.28
adder_pipelined_fast_fp8,883.652,1.66099,0.67
adder_pipelined_fp32,4013.14,5.20281,1.34
adder_pipelined_fp8,867.958,1.6247,0.7
adder_stage_2_bf16,245.252,0.211722,0.5
adder_stage_2_fast_bf16,278.768,0.32780800000000004,0.59
adder_stage_2_fast_fp32,453.796,0.368852,0.62
adder_stage_2_fast_fp8,134.33,0.15746400000000002,0.5
adder_stage_2_fp32,407.778,0.25246999999999997,0.54
adder_stage_2_fp8,126.616,0.125909,0.34
adder_stage_3_bf16,187.53,0.0711147,0.43
adder_stage_3_fp32,683.354,0.252061,0.64
adder_stage_3_fp8,88.046,0.0412743,0.22
adder_stage_4_bf16,325.584,0.362093,0.73
adder_stage_4_fast_bf16,327.18,0.361576,0.71
adder_stage_4_fast_fp32,1045.11,0.710296,1.14
adder_stage_4_fast_fp8,174.762,0.258125,0.45
adder_stage_4_fp32,1464.06,1.05857,1.13
adder_stage_4_fp8,146.034,0.176167,0.59
adder_stage_5_bf16,319.732,0.18884199999999998,0.91
adder_stage_5_fp32,793.744,0.38655599999999996,1.12
adder_stage_5_fp8,181.412,0.121031,0.67
lmul_combinational_fast_bf16,312.55,0.34589400000000003,0.52
lmul_combinational_fast_fp32,732.83,0.580225,0.64
lmul_combinational_fast_fp8,172.368,0.221201,0.44
lmul_combinational_simple_bf16,255.626,0.252634,0.48
lmul_combinational_simple_fp32,702.506,0.5319809999999999,0.55
lmul_combinational_simple_fp8,112.784,0.11116,0.36
lmul_pipelined_fast_bf16,688.674,0.9282910000000001,0.6
lmul_pipelined_fast_fp32,1529.23,1.30025,0.67
lmul_pipelined_fast_fp8,348.726,0.582629,0.51
lmul_pipelined_simple_bf16,675.374,0.895227,0.61
lmul_pipelined_simple_fp32,1526.04,1.32914,0.72
lmul_pipelined_simple_fp8,348.194,0.58525,0.55
multiplier_bf16,1148.59,1.45203,1.03
multiplier_combinational_bf16,1102.57,7.047689999999999,1.98
multiplier_combinational_fast_bf16,1067.72,7.46015,1.94
multiplier_combinational_fast_fp32,6311.91,133.398,2.85
multiplier_combinational_fast_fp8,347.396,1.0553299999999999,1.29
multiplier_combinational_fp32,6353.41,176.407,3.08
multiplier_combinational_fp8,236.208,0.409495,1.4
multiplier_fast_bf16,1169.6,1.65408,1.05
multiplier_fast_fp32,6457.42,9.31073,1.62
multiplier_fast_fp8,487.578,0.7616120000000001,0.72
multiplier_fp32,6323.09,9.05862,1.65
multiplier_fp8,473.746,0.716672,0.68
multiplier_stage_2_bf16,551.418,1.24588,0.86
multiplier_stage_2_fast_bf16,552.482,1.18352,0.91
multiplier_stage_2_fast_fp32,4149.6,29.2743,1.46
multiplier_stage_2_fast_fp8,162.26,0.161324,0.55
multiplier_stage_2_fp32,4009.42,31.769199999999998,1.51
multiplier_stage_2_fp8,165.186,0.16456300000000001,0.5
multiplier_stage_3_bf16,132.468,0.0480459,0.28
multiplier_stage_3_fast_bf16,134.064,0.048474699999999996,0.29
multiplier_stage_3_fast_fp32,319.466,0.0804445,0.42
multiplier_stage_3_fast_fp8,71.82,0.0272315,0.23
multiplier_stage_3_fp32,322.392,0.08809489999999999,0.42
multiplier_stage_3_fp8,71.82,0.0272315,0.23
multiplier_stage_4_bf16,366.548,0.207012,0.94
multiplier_stage_4_fast_bf16,352.982,0.21645599999999998,0.69
multiplier_stage_4_fast_fp32,1253.66,0.5532720000000001,1.07
multiplier_stage_4_fast_fp8,160.132,0.118213,0.65
multiplier_stage_4_fp32,1285.58,0.567724,1.24
multiplier_stage_4_fp8,148.162,0.0970021,0.74
